Alert,Description,MITRE tactics,Severity,Alert Family,Alert Type ()
(Preview) Access from a Tor exit node to an API endpoint,An IP address from the Tor network accessed one of your API endpoints. Tor is a network that allows people to access the Internet while keeping their real IP hidden. Though there are legitimate uses  it is frequently used by attackers to hide their identity when they target people's systems online.,Pre-attack,Medium,Alerts for Defender for APIs,(API_AccessFromTorExitNode)
(Preview) API Endpoint access from suspicious IP,An IP address accessing one of your API endpoints was identified by Microsoft Threat Intelligence as having a high probability of being a threat. While observing malicious Internet traffic  this IP came up as involved in attacking other online targets.,Pre-attack,High,Alerts for Defender for APIs,(API_AccessFromSuspiciousIP)
(Preview) Suspicious User Agent detected,The user agent of a request accessing one of your API endpoints contained anomalous values indicative of an attempt at remote code execution. This does not mean that any of your API endpoints have been breached  but it does suggest that an attempted attack is underway.,Execution,Medium,Alerts for Defender for APIs,(API_AccessFromSuspiciousUserAgent)
DDoS Attack detected for Public IP,DDoS Attack detected for Public IP (IP address) and being mitigated.,Probing,High,Alerts for Azure DDoS Protection,(NETWORK_DDOS_DETECTED)
DDoS Attack mitigated for Public IP,DDoS Attack mitigated for Public IP (IP address).,Probing,Low,Alerts for Azure DDoS Protection,(NETWORK_DDOS_MITIGATED)
Access from a suspicious IP address to a key vault,A key vault has been successfully accessed by an IP that has been identified by Microsoft Threat Intelligence as a suspicious IP address. This may indicate that your infrastructure has been compromised. We recommend further investigation. Learn more about Microsoft's threat intelligence capabilities.,Credential Access,Medium,Alerts for Azure Key Vault,(KV_SuspiciousIPAccess)
Access from a TOR exit node to a key vault,A key vault has been accessed from a known TOR exit node. This could be an indication that a threat actor has accessed the key vault and is using the TOR network to hide their source location. We recommend further investigations.,Credential Access,Medium,Alerts for Azure Key Vault,(KV_TORAccess)
High volume of operations in a key vault,An anomalous number of key vault operations were performed by a user  service principal  and/or a specific key vault. This anomalous activity pattern may be legitimate  but it could be an indication that a threat actor has gained access to the key vault and the secrets contained within it. We recommend further investigations.,Credential Access,Medium,Alerts for Azure Key Vault, (KV_OperationVolumeAnomaly)
Suspicious policy change and secret query in a key vault,A user or service principal has performed an anomalous Vault Put policy change operation followed by one or more Secret Get operations. This pattern is not normally performed by the specified user or service principal. This may be legitimate activity  but it could be an indication that a threat actor has updated the key vault policy to access previously inaccessible secrets. We recommend further investigations.,Credential Access,Medium,Alerts for Azure Key Vault,(KV_PutGetAnomaly)
Suspicious secret listing and query in a key vault,A user or service principal has performed an anomalous Secret List operation followed by one or more Secret Get operations. This pattern is not normally performed by the specified user or service principal and is typically associated with secret dumping. This may be legitimate activity  but it could be an indication that a threat actor has gained access to the key vault and is trying to discover secrets that can be used to move laterally through your network and/or gain access to sensitive resources. We recommend further investigations.,Credential Access,Medium,Alerts for Azure Key Vault,(KV_ListGetAnomaly)
Unusual access denied - User accessing high volume of key vaults denied,A user or service principal has attempted access to anomalously high volume of key vaults in the last 24 hours. This anomalous access pattern may be legitimate activity. Though this attempt was unsuccessful  it could be an indication of a possible attempt to gain access of key vault and the secrets contained within it. We recommend further investigations.,Discovery,Low,Alerts for Azure Key Vault,(KV_AccountVolumeAccessDeniedAnomaly)
Unusual access denied - Unusual user accessing key vault denied,A key vault access was attempted by a user that does not normally access it  this anomalous access pattern may be legitimate activity. Though this attempt was unsuccessful  it could be an indication of a possible attempt to gain access of key vault and the secrets contained within it.,Initial Access  Discovery,Low,Alerts for Azure Key Vault,(KV_UserAccessDeniedAnomaly)
Unusual application accessed a key vault,A key vault has been accessed by a service principal that doesn't normally access it. This anomalous access pattern may be legitimate activity  but it could be an indication that a threat actor has gained access to the key vault in an attempt to access the secrets contained within it. We recommend further investigations.,Credential Access,Medium,Alerts for Azure Key Vault,(KV_AppAnomaly)
Unusual operation pattern in a key vault,An anomalous pattern of key vault operations was performed by a user  service principal  and/or a specific key vault. This anomalous activity pattern may be legitimate  but it could be an indication that a threat actor has gained access to the key vault and the secrets contained within it. We recommend further investigations.,Credential Access,Medium,Alerts for Azure Key Vault,(KV_OperationPatternAnomaly)
Unusual user accessed a key vault,A key vault has been accessed by a user that does not normally access it. This anomalous access pattern may be legitimate activity  but it could be an indication that a threat actor has gained access to the key vault in an attempt to access the secrets contained within it. We recommend further investigations.,Credential Access,Medium,Alerts for Azure Key Vault,(KV_UserAnomaly)
Unusual user-application pair accessed a key vault,A key vault has been accessed by a user-service principal pair that doesn't normally access it. This anomalous access pattern may be legitimate activity  but it could be an indication that a threat actor has gained access to the key vault in an attempt to access the secrets contained within it. We recommend further investigations.,Credential Access,Medium,Alerts for Azure Key Vault,(KV_UserAppAnomaly)
User accessed high volume of key vaults,A user or service principal has accessed an anomalously high volume of key vaults. This anomalous access pattern may be legitimate activity  but it could be an indication that a threat actor has gained access to multiple key vaults in an attempt to access the secrets contained within them. We recommend further investigations.,Credential Access,Medium,Alerts for Azure Key Vault,(KV_AccountVolumeAnomaly)
Denied access from a suspicious IP to a key vault,An unsuccessful key vault access has been attempted by an IP that has been identified by Microsoft Threat Intelligence as a suspicious IP address. Though this attempt was unsuccessful  it indicates that your infrastructure might have been compromised. We recommend further investigations.,Credential Access,Low,Alerts for Azure Key Vault,(KV_SuspiciousIPAccessDenied)
Unusual access to the key vault from a suspicious IP (Non-Microsoft or External),A user or service principal has attempted anomalous access to key vaults from a non-Microsoft IP in the last 24 hours. This anomalous access pattern may be legitimate activity. It could be an indication of a possible attempt to gain access of the key vault and the secrets contained within it. We recommend further investigations.,Credential Access,Medium,Alerts for Azure Key Vault,(KV_UnusualAccessSuspiciousIP)
Network communication with a malicious machine detected,Network traffic analysis indicates that your machine (IP %{Victim IP}) has communicated with what is possibly a Command and Control center. When the compromised resource is a load balancer or an application gateway  the suspected activity might indicate that one or more of the resources in the backend pool (of the load balancer or application gateway) has communicated with what is possibly a Command and Control center.,Command and Control,Medium,Alerts for Azure network layer,(Network_CommunicationWithC2)
Possible compromised machine detected,Threat intelligence indicates that your machine (at IP %{Machine IP}) may have been compromised by a malware of type Conficker. Conficker was a computer worm that targets the Microsoft Windows operating system and was first detected in November 2008. Conficker infected millions of computers including government  business and home computers in over 200 countries/regions  making it the largest known computer worm infection since the 2003 Welchia worm.,Command and Control,Medium,Alerts for Azure network layer,(Network_ResourceIpIndicatedAsMalicious)
Possible incoming %{Service Name} brute force attempts detected,Network traffic analysis detected incoming %{Service Name} communication to %{Victim IP}  associated with your resource %{Compromised Host} from %{Attacker IP}. When the compromised resource is a load balancer or an application gateway  the suspected incoming traffic has been forwarded to one or more of the resources in the backend pool (of the load balancer or application gateway). Specifically  sampled network data shows suspicious activity between %{Start Time} and %{End Time} on port %{Victim Port}. This activity is consistent with brute force attempts against %{Service Name} servers.,PreAttack,Medium,Alerts for Azure network layer,(Generic_Incoming_BF_OneToOne)
Possible incoming SQL brute force attempts detected,Network traffic analysis detected incoming SQL communication to %{Victim IP}  associated with your resource %{Compromised Host}  from %{Attacker IP}. When the compromised resource is a load balancer or an application gateway  the suspected incoming traffic has been forwarded to one or more of the resources in the backend pool (of the load balancer or application gateway). Specifically  sampled network data shows suspicious activity between %{Start Time} and %{End Time} on port %{Port Number} (%{SQL Service Type}). This activity is consistent with brute force attempts against SQL servers.,PreAttack,Medium,Alerts for Azure network layer,(SQL_Incoming_BF_OneToOne)
Possible outgoing denial-of-service attack detected,Network traffic analysis detected anomalous outgoing activity originating from %{Compromised Host}  a resource in your deployment. This activity may indicate that your resource was compromised and is now engaged in denial-of-service attacks against external endpoints. When the compromised resource is a load balancer or an application gateway  the suspected activity might indicate that one or more of the resources in the backend pool (of the load balancer or application gateway) was compromised. Based on the volume of connections  we believe that the following IPs are possibly the targets of the DOS attack: %{Possible Victims}. Note that it is possible that the communication to some of these IPs is legitimate.,Impact,Medium,Alerts for Azure network layer,(DDOS)
Suspicious incoming RDP network activity from multiple sources,Network traffic analysis detected anomalous incoming Remote Desktop Protocol (RDP) communication to %{Victim IP}  associated with your resource %{Compromised Host}  from multiple sources. When the compromised resource is a load balancer or an application gateway  the suspected incoming traffic has been forwarded to one or more of the resources in the backend pool (of the load balancer or application gateway). Specifically  sampled network data shows %{Number of Attacking IPs} unique IPs connecting to your resource  which is considered abnormal for this environment. This activity may indicate an attempt to brute force your RDP end point from multiple hosts (Botnet),PreAttack,Medium,Alerts for Azure network layer,(RDP_Incoming_BF_ManyToOne)
Suspicious incoming RDP network activity,Network traffic analysis detected anomalous incoming Remote Desktop Protocol (RDP) communication to %{Victim IP}  associated with your resource %{Compromised Host}  from %{Attacker IP}. When the compromised resource is a load balancer or an application gateway  the suspected incoming traffic has been forwarded to one or more of the resources in the backend pool (of the load balancer or application gateway). Specifically  sampled network data shows %{Number of Connections} incoming connections to your resource  which is considered abnormal for this environment. This activity may indicate an attempt to brute force your RDP end point,PreAttack,Medium,Alerts for Azure network layer,(RDP_Incoming_BF_OneToOne)
Suspicious incoming SSH network activity from multiple sources,Network traffic analysis detected anomalous incoming SSH communication to %{Victim IP}  associated with your resource %{Compromised Host}  from multiple sources. When the compromised resource is a load balancer or an application gateway  the suspected incoming traffic has been forwarded to one or more of the resources in the backend pool (of the load balancer or application gateway). Specifically  sampled network data shows %{Number of Attacking IPs} unique IPs connecting to your resource  which is considered abnormal for this environment. This activity may indicate an attempt to brute force your SSH end point from multiple hosts (Botnet),PreAttack,Medium,Alerts for Azure network layer,(SSH_Incoming_BF_ManyToOne)
Suspicious incoming SSH network activity,Network traffic analysis detected anomalous incoming SSH communication to %{Victim IP}  associated with your resource %{Compromised Host}  from %{Attacker IP}. When the compromised resource is a load balancer or an application gateway  the suspected incoming traffic has been forwarded to one or more of the resources in the backend pool (of the load balancer or application gateway). Specifically  sampled network data shows %{Number of Connections} incoming connections to your resource  which is considered abnormal for this environment. This activity may indicate an attempt to brute force your SSH end point,PreAttack,Medium,Alerts for Azure network layer,(SSH_Incoming_BF_OneToOne)
Suspicious outgoing %{Attacked Protocol} traffic detected,Network traffic analysis detected suspicious outgoing traffic from %{Compromised Host} to destination port %{Most Common Port}. When the compromised resource is a load balancer or an application gateway  the suspected outgoing traffic has been originated from to one or more of the resources in the backend pool (of the load balancer or application gateway). This behavior may indicate that your resource is taking part in %{Attacked Protocol} brute force attempts or port sweeping attacks.,Discovery,Medium,Alerts for Azure network layer,(PortScanning)
Suspicious outgoing RDP network activity to multiple destinations,Network traffic analysis detected anomalous outgoing Remote Desktop Protocol (RDP) communication to multiple destinations originating from %{Compromised Host} (%{Attacker IP})  a resource in your deployment. When the compromised resource is a load balancer or an application gateway  the suspected outgoing traffic has been originated from to one or more of the resources in the backend pool (of the load balancer or application gateway). Specifically  sampled network data shows your machine connecting to %{Number of Attacked IPs} unique IPs  which is considered abnormal for this environment. This activity may indicate that your resource was compromised and is now used to brute force external RDP end points. Note that this type of activity could possibly cause your IP to be flagged as malicious by external entities.,Discovery,High,Alerts for Azure network layer,(RDP_Outgoing_BF_OneToMany)
Suspicious outgoing RDP network activity,Network traffic analysis detected anomalous outgoing Remote Desktop Protocol (RDP) communication to %{Victim IP} originating from %{Compromised Host} (%{Attacker IP})  a resource in your deployment. When the compromised resource is a load balancer or an application gateway  the suspected outgoing traffic has been originated from to one or more of the resources in the backend pool (of the load balancer or application gateway). Specifically  sampled network data shows %{Number of Connections} outgoing connections from your resource  which is considered abnormal for this environment. This activity may indicate that your machine was compromised and is now used to brute force external RDP end points. Note that this type of activity could possibly cause your IP to be flagged as malicious by external entities.,Lateral Movement,High,Alerts for Azure network layer,(RDP_Outgoing_BF_OneToOne)
Suspicious outgoing SSH network activity to multiple destinations,Network traffic analysis detected anomalous outgoing SSH communication to multiple destinations originating from %{Compromised Host} (%{Attacker IP})  a resource in your deployment. When the compromised resource is a load balancer or an application gateway  the suspected outgoing traffic has been originated from to one or more of the resources in the backend pool (of the load balancer or application gateway). Specifically  sampled network data shows your resource connecting to %{Number of Attacked IPs} unique IPs  which is considered abnormal for this environment. This activity may indicate that your resource was compromised and is now used to brute force external SSH end points. Note that this type of activity could possibly cause your IP to be flagged as malicious by external entities.,Discovery,Medium,Alerts for Azure network layer,(SSH_Outgoing_BF_OneToMany)
Suspicious outgoing SSH network activity,Network traffic analysis detected anomalous outgoing SSH communication to %{Victim IP} originating from %{Compromised Host} (%{Attacker IP})  a resource in your deployment. When the compromised resource is a load balancer or an application gateway  the suspected outgoing traffic has been originated from to one or more of the resources in the backend pool (of the load balancer or application gateway). Specifically  sampled network data shows %{Number of Connections} outgoing connections from your resource  which is considered abnormal for this environment. This activity may indicate that your resource was compromised and is now used to brute force external SSH end points. Note that this type of activity could possibly cause your IP to be flagged as malicious by external entities.,Lateral Movement,Medium,Alerts for Azure network layer,(SSH_Outgoing_BF_OneToOne)
Traffic detected from IP addresses recommended for blocking,Microsoft Defender for Cloud detected inbound traffic from IP addresses that are recommended to be blocked. This typically occurs when this IP address doesn't communicate regularly with this resource. Alternatively  the IP address has been flagged as malicious by Defender for Cloud's threat intelligence sources.,Probing,Low,Alerts for Azure network layer,
Access from a Tor exit node,This Azure Cosmos DB account was successfully accessed from an IP address known to be an active exit node of Tor  an anonymizing proxy. Authenticated access from a Tor exit node is a likely indication that a threat actor is trying to hide their identity.,Initial Access,High/Medium,Alerts for Azure Cosmos DB,(CosmosDB_TorAnomaly)
Access from a suspicious IP,This Azure Cosmos DB account was successfully accessed from an IP address that was identified as a threat by Microsoft Threat Intelligence.,Initial Access,Medium,Alerts for Azure Cosmos DB,(CosmosDB_SuspiciousIp)
Access from an unusual location,This Azure Cosmos DB account was accessed from a location considered unfamiliar  based on the usual access pattern.,Initial Access,Low,Alerts for Azure Cosmos DB,(CosmosDB_GeoAnomaly)
Unusual volume of data extracted,An unusually large volume of data has been extracted from this Azure Cosmos DB account. This might indicate that a threat actor exfiltrated data.,Exfiltration,Medium,Alerts for Azure Cosmos DB,(CosmosDB_DataExfiltrationAnomaly)
Extraction of Azure Cosmos DB accounts keys via a potentially malicious script,A PowerShell script was run in your subscription and performed a suspicious pattern of key-listing operations to get the keys of Azure Cosmos DB accounts in your subscription. Threat actors use automated scripts  like Microburst  to list keys and find Azure Cosmos DB accounts they can access.,Collection,High,Alerts for Azure Cosmos DB,(CosmosDB_SuspiciousListKeys.MaliciousScript)
Suspicious extraction of Azure Cosmos DB account keys,A suspicious source extracted Azure Cosmos DB account access keys from your subscription. If this source is not a legitimate source  this may be a high impact issue. The access key that was extracted provides full control over the associated databases and the data stored within. See the details of each specific alert to understand why the source was flagged as suspicious.,Credential Access,high,Alerts for Azure Cosmos DB,(AzureCosmosDB_SuspiciousListKeys.SuspiciousPrincipal)
SQL injection: potential data exfiltration,A suspicious SQL statement was used to query a container in this Azure Cosmos DB account.,Exfiltration,Medium,Alerts for Azure Cosmos DB,(CosmosDB_SqlInjection.DataExfiltration)
SQL injection: fuzzing attempt,A suspicious SQL statement was used to query a container in this Azure Cosmos DB account.,Pre-attack,Low,Alerts for Azure Cosmos DB,(CosmosDB_SqlInjection.FailedFuzzingAttempt)
Access from a suspicious application,Indicates that a suspicious application has successfully accessed a container of a storage account with authentication.,Initial Access,High/Medium,Alerts for Azure Storage,(Storage.Blob_SuspiciousApp)
Access from a suspicious IP address,Indicates that this storage account has been successfully accessed from an IP address that is considered suspicious. This alert is powered by Microsoft Threat Intelligence.,Pre Attack,High/Medium/Low,Alerts for Azure Storage,"(Storage.Blob_SuspiciousIp Storage.Files_SuspiciousIp)"
Phishing content hosted on a storage account,A URL used in a phishing attack points to your Azure Storage account. This URL was part of a phishing attack affecting users of Microsoft 365.,Collection,High,Alerts for Azure Storage,"(Storage.Blob_PhishingContent Storage.Files_PhishingContent)"
Storage account identified as source for distribution of malware,Antimalware alerts indicate that an infected file(s) is stored in an Azure file share that is mounted to multiple VMs. If attackers gain access to a VM with a mounted Azure file share  they can use it to spread malware to other VMs that mount the same share.,Execution,Medium,Alerts for Azure Storage,(Storage.Files_WidespreadeAm)
The access level of a potentially sensitive storage blob container was changed to allow unauthenticated public access,The alert indicates that someone has changed the access level of a blob container in the storage account  which may contain sensitive data  to the ‘Container’ level  to allow unauthenticated (anonymous) public access. The change was made through the Azure portal.,Collection,Medium,Alerts for Azure Storage,(Storage.Blob_OpenACL)
Authenticated access from a Tor exit node,One or more storage container(s) / file share(s) in your storage account were successfully accessed from an IP address known to be an active exit node of Tor (an anonymizing proxy). Threat actors use Tor to make it difficult to trace the activity back to them. Authenticated access from a Tor exit node is a likely indication that a threat actor is trying to hide their identity.,Initial Access / Pre Attack,High/Medium,Alerts for Azure Storage,"(Storage.Blob_TorAnomaly Storage.Files_TorAnomaly)"
Access from an unusual location to a storage account,Indicates that there was a change in the access pattern to an Azure Storage account. Someone has accessed this account from an IP address considered unfamiliar when compared with recent activity. Either an attacker has gained access to the account  or a legitimate user has connected from a new or unusual geographic location. An example of the latter is remote maintenance from a new application or developer.,Initial Access,High/Medium/Low,Alerts for Azure Storage,(Storage.Blob_GeoAnomaly
Unusual unauthenticated access to a storage container,This storage account was accessed without authentication  which is a change in the common access pattern. Read access to this container is usually authenticated. This might indicate that a threat actor was able to exploit public read access to storage container(s) in this storage account(s).,Initial Access,High/Low,Alerts for Azure Storage,Storage.Files_GeoAnomaly)
Potential malware uploaded to a storage account,Indicates that a blob containing potential malware has been uploaded to a blob container or a file share in a storage account. This alert is based on hash reputation analysis leveraging the power of Microsoft threat intelligence  which includes hashes for viruses  trojans  spyware and ransomware. Potential causes may include an intentional malware upload by an attacker  or an unintentional upload of a potentially malicious blob by a legitimate user.,Lateral Movement,High,Alerts for Azure Storage,"(Storage.Blob_MalwareHashReputation Storage.Files_MalwareHashReputation)"
Publicly accessible storage containers successfully discovered,A successful discovery of publicly open storage container(s) in your storage account was performed in the last hour by a scanning script or tool.,Collection,High/Medium,Alerts for Azure Storage,(Storage.Blob_OpenContainersScanning.SuccessfulDiscovery)
Publicly accessible storage containers unsuccessfully scanned,A series of failed attempts to scan for publicly open storage containers were performed in the last hour.,Collection,High/Low,Alerts for Azure Storage,(Storage.Blob_OpenContainersScanning.FailedAttempt)
Unusual access inspection in a storage account,Indicates that the access permissions of a storage account have been inspected in an unusual way  compared to recent activity on this account. A potential cause is that an attacker has performed reconnaissance for a future attack.,Discovery,High/Medium,Alerts for Azure Storage,"(Storage.Blob_AccessInspectionAnomaly Storage.Files_AccessInspectionAnomaly)"
Unusual amount of data extracted from a storage account,Indicates that an unusually large amount of data has been extracted compared to recent activity on this storage container. A potential cause is that an attacker has extracted a large amount of data from a container that holds blob storage.,Exfiltration,High/Low,Alerts for Azure Storage,"(Storage.Blob_DataExfiltration.AmountOfDataAnomaly Storage.Blob_DataExfiltration.NumberOfBlobsAnomaly Storage.Files_DataExfiltration.AmountOfDataAnomaly Storage.Files_DataExfiltration.NumberOfFilesAnomaly)"
Unusual application accessed a storage account,Indicates that an unusual application has accessed this storage account. A potential cause is that an attacker has accessed your storage account by using a new application.,Execution,High/Medium,Alerts for Azure Storage,"(Storage.Blob_ApplicationAnomaly Storage.Files_ApplicationAnomaly)"
Unusual data exploration in a storage account,Indicates that blobs or containers in a storage account have been enumerated in an abnormal way  compared to recent activity on this account. A potential cause is that an attacker has performed reconnaissance for a future attack.,Execution,High/Medium,Alerts for Azure Storage,"(Storage.Blob_DataExplorationAnomaly Storage.Files_DataExplorationAnomaly)"
Unusual deletion in a storage account,Indicates that one or more unexpected delete operations has occurred in a storage account  compared to recent activity on this account. A potential cause is that an attacker has deleted data from your storage account.,Exfiltration,High/Medium,Alerts for Azure Storage,"(Storage.Blob_DeletionAnomaly Storage.Files_DeletionAnomaly)"
Unusual unauthenticated public access to a sensitive blob container (Preview),The alert indicates that someone accessed a blob container with sensitive data in the storage account without authentication  using an external (public) IP address. This access is suspicious since the blob container is open to public access and is typically only accessed with authentication from internal networks (private IP addresses). This access could indicate that the blob container’s access level is misconfigured  and a malicious actor may have exploited the public access. The security alert includes the discovered sensitive information context (scanning time  classification label  information types  and file types). Learn more on sensitive data threat detection.,Initial Access,High,Alerts for Azure Storage,Storage.Blob_AnonymousAccessAnomaly.Sensitive
Unusual amount of data extracted from a sensitive blob container (Preview),The alert indicates that someone has extracted an unusually large number of blobs from a blob container with sensitive data in the storage account.,Exfiltration,Medium,Alerts for Azure Storage,Storage.Blob_DataExfiltration.AmountOfDataAnomaly.Sensitive
Unusual number of blobs extracted from a sensitive blob container (Preview),The alert indicates that someone has extracted an unusually large amount of data from a blob container with sensitive data in the storage account.,Exfiltration,,Alerts for Azure Storage,Storage.Blob_DataExfiltration.NumberOfBlobsAnomaly.Sensitive
Access from a known suspicious application to a sensitive blob container (Preview),The alert indicates that someone with a known suspicious application accessed a blob container with sensitive data in the storage account and performed authenticated operations.,Initial Access,High,Alerts for Azure Storage,Storage.Blob_SuspiciousApp.Sensitive
Access from a known suspicious IP address to a sensitive blob container (Preview),The alert indicates that someone accessed a blob container with sensitive data in the storage account from a known suspicious IP address associated with threat intel by Microsoft Threat Intelligence. Since the access was authenticated  it’s possible that the credentials allowing access to this storage account were compromised.,Pre-Attack,High,Alerts for Azure Storage,Storage.Blob_SuspiciousIp.Sensitive
Access from a Tor exit node to a sensitive blob container (Preview),The alert indicates that someone with an IP address known to be a Tor exit node accessed a blob container with sensitive data in the storage account with authenticated access. Authenticated access from a Tor exit node strongly indicates that the actor is attempting to remain anonymous for possible malicious intent. Since the access was authenticated  it’s possible that the credentials allowing access to this storage account were compromised.,Pre-Attack,High,Alerts for Azure Storage,Storage.Blob_TorAnomaly.Sensitive
Access from an unusual location to a sensitive blob container (Preview),The alert indicates that someone has accessed blob container with sensitive data in the storage account with authentication from an unusual location. Since the access was authenticated  it’s possible that the credentials allowing access to this storage account were compromised.,Initial Access,Medium,Alerts for Azure Storage,Storage.Blob_GeoAnomaly.Sensitive
The access level of a sensitive storage blob container was changed to allow unauthenticated public access (Preview),The alert indicates that someone has changed the access level of a blob container in the storage account  which contains sensitive data  to the ‘Container’ level  which allows unauthenticated (anonymous) public access. The change was made through the Azure portal.,Collection,High,Alerts for Azure Storage,Storage.Blob_OpenACL.Sensitive
Suspicious external access to an Azure storage account with overly permissive SAS token (Preview),The alert indicates that someone with an external (public) IP address accessed the storage account using an overly permissive SAS token with a long expiration date. This type of access is considered suspicious because the SAS token is typically only used in internal networks (from private IP addresses).,Exfiltration / Resource Development / Impact,Medium,Alerts for Azure Storage,Storage.Blob_AccountSas.InternalSasUsedExternally
Suspicious external operation to an Azure storage account with overly permissive SAS token (Preview),The alert indicates that someone with an external (public) IP address accessed the storage account using an overly permissive SAS token with a long expiration date. The access is considered suspicious because operations invoked outside your network (not from private IP addresses) with this SAS token are typically used for a specific set of Read/Write/Delete operations  but other operations occurred  which makes this access suspicious.,Exfiltration / Resource Development / Impact,Medium,Alerts for Azure Storage,Storage.Blob_AccountSas.UnusualOperationFromExternalIp
Unusual SAS token was used to access an Azure storage account from a public IP address (Preview),The alert indicates that someone with an external (public) IP address has accessed the storage account using an account SAS token. The access is highly unusual and considered suspicious  as access to the storage account using SAS tokens typically comes only from internal (private) IP addresses.,Exfiltration / Resource Development / Impact,Low,Alerts for Azure Storage,Storage.Blob_AccountSas.UnusualExternalAccess
Malicious file uploaded to storage account (Preview),The alert indicates that a malicious blob was uploaded to a storage account. This security alert is generated by the Malware Scanning feature in Defender for Storage.,LateralMovement,High,Alerts for Azure Storage,Storage.Blob_AM.MalwareFound
Anomalous network protocol usage,Analysis of DNS transactions from %{CompromisedEntity} detected anomalous protocol usage. Such traffic  while possibly benign  may indicate abuse of this common protocol to bypass network traffic filtering. Typical related attacker activity includes copying remote administration tools to a compromised host and exfiltrating user data from it.,Exfiltration,-,Alerts for DNS,(AzureDNS_ProtocolAnomaly)
